"lab_id","sample_size","mean_age","valid_sample_size","exclusion_rate"
"babylabamsterdam",35,254.823529411765,17,0.514285714285714
"babylablmu",28,244.166666666667,24,0.142857142857143
"babylabmpib",12,285,6,0.5
"babylabosaka",27,284.142857142857,21,0.222222222222222
"babylabtrento",19,239.230769230769,13,0.315789473684211
"babylabulb",22,261.352941176471,17,0.227272727272727
"babylabuva",16,234.090909090909,11,0.3125
"babylabvuw",23,243.3125,16,0.304347826086957
"beinghumanwroclaw",43,227.485714285714,35,0.186046511627907
"biccbabylab",29,270.857142857143,7,0.758620689655172
"bllumanitoba",33,231.222222222222,18,0.454545454545455
"cbplabumn",28,230.133333333333,15,0.464285714285714
"childstudiesucsb",42,257.454545454545,33,0.214285714285714
"cogcienmat_univalle",24,238.789473684211,19,0.208333333333333
"cogdevlabhku",63,304.545454545455,33,0.476190476190476
"corbitlab",6,274,1,0.833333333333333
"cutelabunak",30,248.157894736842,19,0.366666666666667
"ellaauckland",50,249.5,28,0.44
"emlasu",10,254.2,5,0.5
"epsyrub",24,301.2,15,0.375
"gauggöttingen",23,266.071428571429,14,0.391304347826087
"ikidstutsc",34,246.842105263158,19,0.441176470588235
"infantcog_ubc",59,253.111111111111,36,0.389830508474576
"irlconcordia",19,228.083333333333,12,0.368421052631579
"kidsdevuniofnewcastle",19,261.444444444444,9,0.526315789473684
"kikoceu",34,277.625,16,0.529411764705882
"langdevhaifa",11,237,8,0.272727272727273
"lmumunich",25,242.421052631579,19,0.24
"mecdmpihcbs",22,NA,NA,NA
"pkusu",93,253.808510638298,47,0.494623655913978
"socallabucsd",14,252.454545454545,11,0.214285714285714
"uiwcarl",3,NA,NA,NA
"weltentdeckerzurich",28,289.55,20,0.285714285714286
"wsumarcs",25,226.190476190476,21,0.16
"yonseichild",12,223.5,4,0.666666666666667
